word,Reading,JLPT Level,Frequency Rank,Meaning
懲りる,こりる,N1,0,"to learn by experience, to be disgusted with"
凝る,こる,N1,0,"to stiffen, to harden"
根気,こんき,N1,0,"patience; perseverance, energy"
根拠,こんきょ,N1,1481,"basis, foundation"
混血,こんけつ,N1,11718,"mixed race, mixed parentage"
コンタクト,コンタクト,N1,15966,contact; contact lens
昆虫,こんちゅう,N1,5517,"insect, bug"
根底,こんてい,N1,0,"root, basis, foundation"
混同,こんどう,N1,4771,"confusion, mixing, merger"
コントラスト,コントラスト,N1,0,contrast
コントロール,コントロール,N1,6114,control
コンパス,コンパス,N1,0,compass
根本,こんぽん,N1,5181,"foundation, root, base"
財,ざい,N1,8002,"fortune, riches"
再会,さいかい,N1,5085,"meeting again, reunion"
災害,さいがい,N1,2676,"calamity, disaster, misfortune"
細菌,さいきん,N1,6832,"bacillus, bacterium, germ"
細工,さいく,N1,16728,"work, craftsmanship, trick"
採掘,さいくつ,N1,11044,mining
サイクル,サイクル,N1,8135,cycle
採決,さいけつ,N1,19619,"vote, roll call"
再建,さいけん,N1,3990,(temple or shrine) rebuilding
再現,さいげん,N1,4569,"reproduction, return, revival"
財源,ざいげん,N1,18737,"source of funds, resources, finances"
在庫,ざいこ,N1,17236,"stockpile, stock"
採算,さいさん,N1,0,profit
サイズ,サイズ,N1,702,size
再生,さいせい,N1,2530,"playback, regeneration, resuscitation"
財政,ざいせい,N1,4127,"economy, financial affairs"
最善,さいぜん,N1,18862,the very best
採択,さいたく,N1,8038,"adoption, selection, choice"
栽培,さいばい,N1,4519,cultivation
再発,さいはつ,N1,7080,"return, relapse, reoccurrence"
細胞,さいぼう,N1,1875,cell
採用,さいよう,N1,975,"use, adopt"
遮る,さえぎる,N1,0,"to interrupt, to intercept, to obstruct"
さえずる,さえずる,N1,0,"to sing, to chirp, to twitter"
冴える,さえる,N1,0,"to be clear, to be bright, to be skillful"
竿,さお,N1,0,"rod, pole (e.g., for drying laundry)"
