元年,がんねん,N1,1403
感無量,かんむりょう,N1,0
慣例,かんれい,N1,10137
規格,きかく,N1,2168
着飾る,きかざる,N1,0
聞き取り,ききとり,N1,0
帰京,ききょう,N1,0
棄権,きけん,N1,8243
気障,きざ,N1,0
議事堂,ぎじどう,N1,12479
寄贈,きぞう,N1,9553
起点,きてん,N1,1974
規範,きはん,N1,12823
気風,きふう,N1,0
起伏,きふく,N1,0
きまりわるい,きまりわるい,N1,0
脚色,きゃくしょく,N1,12946
華奢,きゃしゃ,N1,0
球根,きゅうこん,N1,0
旧知,きゅうち,N1,0
窮乏,きゅうぼう,N1,0
寄与,きよ,N1,9080
共学,きょうがく,N1,3379
強行,きょうこう,N1,7503
強硬,きょうこう,N1,14813
凶作,きょうさく,N1,0
郷愁,きょうしゅう,N1,0
興じる,きょうじる,N1,0
共存,きょうぞん,N1,14762
郷土,きょうど,N1,4227
共鳴,きょうめい,N1,12112
局限,きょくげん,N1,0
清らか,きよらか,N1,0
切替,きりかえ,N1,0
均衡,きんこう,N1,14586
区切り,くぎり,N1,13958
くじびき,くじびき,N1,0
口吟む,くちずさむ,N1,0
嘴,くちばし,N1,0
朽ちる,くちる,N1,0
屈折,くっせつ,N1,17826
首飾り,くびかざり,N1,0
蔵,くら,N1,2054
軍服,ぐんぷく,N1,18036
傾斜,けいしゃ,N1,7857
点線,てんせん,N1,0
転じる,てんじる,N1,0
転ずる,てんずる,N1,0
転任,てんにん,N1,19163
伝来,でんらい,N1,14488
動員,どういん,N1,5728
等級,とうきゅう,N1,5489
道場,どうじょう,N1,6647
統制,とうせい,N1,7474
統率,とうそつ,N1,0
仕組,しくみ,N1,0
志向,しこう,N1,11884
嗜好,しこう,N1,14234
時刻表,じこくひょう,N1,0
下心,したごころ,N1,0
下地,したじ,N1,17483
下調べ,したしらべ,N1,0
麻,あさ,N1,3352
浅ましい,あさましい,N1,0
嘲笑う,あざわらう,N1,0
味わい,あじわい,N1,0
呆気ない,あっけない,N1,0
斡旋,あっせん,N1,0
当て字,あてじ,N1,0
跡継ぎ,あとつぎ,N1,0
雨具,あまぐ,N1,0
歩む,あゆむ,N1,0
荒っぽい,あらっぽい,N1,0
