郷愁,きょうしゅう,N1,0
共存,きょうぞん,N1,14762
郷土,きょうど,N1,4227
共鳴,きょうめい,N1,12112
局限,きょくげん,N1,0
清らか,きよらか,N1,0
切替,きりかえ,N1,0
切れ目,きれめ,N1,0
食い違う,くいちがう,N1,0
区切り,くぎり,N1,13958
くじ ,くじ ,N1,0
口吟む,くちずさむ,N1,0
嘴,くちばし,N1,0
屈折,くっせつ,N1,17826
首飾り,くびかざり,N1,0
組み込む,くみこむ,N1,0
組み合わせる,くみあわせる,N1,19226
軍服,ぐんぷく,N1,18036
傾斜,けいしゃ,N1,7857
点線,てんせん,N1,0
転ずる,てんずる,N1,0
転任,てんにん,N1,19163
動員,どういん,N1,5728
等級,とうきゅう,N1,5489
道場,どうじょう,N1,6647
統制,とうせい,N1,7474
統率,とうそつ,N1,0
仕組,しくみ,N1,0
湿気る,しける,N1,0
志向,しこう,N1,11884
嗜好,しこう,N1,14234
下心,したごころ,N1,0
下調べ,したしらべ,N1,0
赤らむ,あからむ,N1,0
浅ましい,あさましい,N1,0
嘲笑う,あざわらう,N1,0
呆気ない,あっけない,N1,0
斡旋,あっせん,N1,0
雨具,あまぐ,N1,0
改まる,あらたまる,N1,0
霰,あられ,N1,0
有り様,ありさま,N1,0
暗示,あんじ,N1,0
案の定,あんのじょう,N1,0
行き違い,いきちがい,N1,0
意気込む,いきごむ,N1,0
幾多,いくた,N1,0
異見,いけん,N1,0
準急,じゅんきゅう,N1,12900
情緒,じょうしょ,N1,0
蒸溜,じょうりゅう,N1,0
植民地,しょくみんち,N1,0
所定,しょてい,N1,15925
親善,しんぜん,N1,8523
進度,しんど,N1,0
信任,しんにん,N1,10392
診療,しんりょう,N1,4918
濯ぐ,すすぐ,N1,0
ストロボ,ストロボ,N1,0
スプリング,スプリング,N1,7892
清ます,すます,N1,0
成育,せいいく,N1,0
盛装,せいそう,N1,0
静的,せいてき,N1,0
製鉄,せいてつ,N1,7696
制約,せいやく,N1,7439
整列,せいれつ,N1,0
伜,せがれ,N1,0
折衷,せっちゅう,N1,0
専修,せんしゅう,N1,7847
前提,ぜんてい,N1,3831
先天的,せんてんてき,N1,0
全滅,ぜんめつ,N1,12488
善良,ぜんりょう,N1,0
創刊,そうかん,N1,3886
雑木,ぞうき,N1,0
蔵相,ぞうしょう,N1,0
即する,そくする,N1,0
素っ気無い,そっけない,N1,0
外方,そっぽ,N1,0
備え付ける,そなえつける,N1,0
備わる,そなわる,N1,0
聳える,そびえる,N1,0
対決,たいけつ,N1,3851
大便,だいべん,N1,0
代弁,だいべん,N1,0
待望,たいぼう,N1,0
タイムリー,タイムリー,N1,0
断える,たえる,N1,0
焚火,たきび,N1,0
妥結,だけつ,N1,0
多数決,たすうけつ,N1,16269
立ち寄る,たちよる,N1,0
脱する,だっする,N1,0
脱退,だったい,N1,4628
立て替える,たてかえる,N1,0
奉る,たてまつる,N1,0
辿り着く,たどりつく,N1,0
束ねる,たばねる,N1,0
賜る,たまわる,N1,0
弛み,たるみ,N1,0
弛む,たるむ,N1,0
短大,たんだい,N1,13981
短波,たんぱ,N1,17841
蛋白質,たんぱくしつ,N1,0
断面,だんめん,N1,12508
チームワーク,チームワーク,N1,0
着色,ちゃくしょく,N1,13947
着目,ちゃくもく,N1,14988
