word,Reading,JLPT Level
決勝,けっしょう,N1
結晶,けっしょう,N1
結成,けっせい,N1
結束,けっそく,N1
げっそり,げっそり,N1
決断,けつだん,N1
月賦,げっぷ,N1
欠乏,けつぼう,N1
蹴飛ばす,けとばす,N1
けなす,けなす,N1
煙たい,けむたい,N1
煙る,けむる,N1
獣,けもの,N1
家来,けらい,N1
下痢,げり,N1
権威,けんい,N1
兼業,けんぎょう,N1
原形,げんけい,N1
原型,げんけい,N1
権限,けんげん,N1
現行,げんこう,N1
健在,けんざい,N1
原作,げんさく,N1
検事,けんじ,N1
原子,げんし,N1
元首,げんしゅ,N1
原書,げんしょ,N1
懸賞,けんしょう,N1
健全,けんぜん,N1
元素,げんそ,N1
同調,どうちょう,N1
到底,とうてい,N1
動的,どうてき,N1
尊い,とうとい,N1
貴い,とうとい,N1
同等,どうとう,N1
堂々,どうどう,N1
尊ぶ,とうとぶ,N1
どうにか,どうにか,N1
投入,とうにゅう,N1
導入,どうにゅう,N1
当人,とうにん,N1
同封,どうふう,N1
逃亡,とうぼう,N1
冬眠,とうみん,N1
同盟,どうめい,N1
どうやら,どうやら,N1
動力,どうりょく,N1
登録,とうろく,N1
討論,とうろん,N1
遠ざかる,とおざかる,N1
遠回り,とおまわり,N1
トーン,トーン,N1
とかく,とかく,N1
とがめる,とがめる,N1
時折,ときおり,N1
とぎれる,とぎれる,N1
研ぐ,とぐ,N1
特技,とくぎ,N1
独裁,どくさい,N1
特産,とくさん,N1
独自,どくじ,N1
特集,とくしゅう,N1
独占,どくせん,N1
独創,どくそう,N1
得点,とくてん,N1
特派,とくは,N1
特有,とくゆう,N1
とげ ,とげ ,N1
遂げる,とげる,N1
～どころか,～どころか,N1
年頃,としごろ,N1
戸締り,とじまり,N1
途上,とじょう,N1
土台,どだい,N1
途絶える,とだえる,N1
特許,とっきょ,N1
特権,とっけん,N1
とっさに,とっさに,N1
突如,とつじょ,N1
とって,とって,N1
突破,とっぱ,N1
土手,どて,N1
届,とどけ,N1
滞る,とどこおる,N1
整える,ととのえる,N1
止める,とどめる,N1
唱える,となえる,N1
殿様,とのさま,N1
土俵,どひょう,N1
扉,とびら,N1
溝,どぶ,N1
徒歩,とほ,N1
土木,どぼく,N1
とぼける,とぼける,N1
乏しい,とぼしい,N1
富,とみ,N1
富む,とむ,N1
共稼ぎ,ともかせぎ,N1
伴う,ともなう,N1
共働き,ともばたらき,N1
ドライ,ドライ,N1
ドライクリーニング,ドライクリーニング,N1
ドライバー,ドライバー,N1
ドライブイン,ドライブイン,N1
トラブル,トラブル,N1
トランジスター,トランジスター,N1
とりあえず,とりあえず,N1
取扱,とりあつかい,N1
取り扱う,とりあつかう,N1
鳥居,とりい,N1
取り替え,とりかえ,N1
取り組む,とりくむ,N1
取締り,とりしまり,N1
